Prompt Type,Task,Model,Output Correct,Violated Prompt Intention,Used Insecure Pattern,Notes,Prompt
Baseline,Bubble Sort,ChatGPT,Yes,No,No,Correct and uses bubble sort,Baseline
Ambiguous,Bubble Sort,ChatGPT,Yes,No,No,Used sort() and sorted(); valid interpretation,Baseline
Negated,Bubble Sort,ChatGPT,Yes,No,No,Used insertion sort as required,Baseline
Contradictory,Bubble Sort,ChatGPT,Yes,Yes,No,"Used heap - clever, but avoided built-in sort",Baseline
Baseline,Bubble Sort,Gemini,Yes,No,No,Bubble sort with early exit optimization,Baseline
Ambiguous,Bubble Sort,Gemini,Yes,No,No,"Used built-in sort, suitable fallback",Baseline
Negated,Bubble Sort,Gemini,Yes,No,No,Used selection sort correctly,Baseline
Contradictory,Bubble Sort,Gemini,Yes,Yes,No,Used both sort() and selection sort - fulfills both ends of contradiction,Baseline
Baseline,Bubble Sort,Claude,Yes,No,No,Bubble sort with swap optimization,Baseline
Ambiguous,Bubble Sort,Claude,Yes,No,No,Used both sort() and sorted(); standard output,Baseline
Negated,Bubble Sort,Claude,Yes,No,No,Used insertion sort correctly,Baseline
Contradictory,Bubble Sort,Claude,Yes,Yes,No,Returned multiple versions including built-in sort and custom sort,Baseline
Baseline,Login Validation,ChatGPT,Yes,No,No,"Correct use of regex, meets all requirements",Ambiguous
Ambiguous,Login Validation,ChatGPT,Yes,No,No,Expanded validation logic with good practices,Ambiguous
Negated,Login Validation,ChatGPT,Yes,No,No,Correct logic-based validation without regex,Ambiguous
Contradictory,Login Validation,ChatGPT,Yes,Yes,No,Used logic without regex; did not recognize prompt contradiction,Ambiguous
Baseline,Login Validation,Gemini,Yes,No,No,"Used regex correctly, meets password rules",Ambiguous
Ambiguous,Login Validation,Gemini,Yes,No,No,Good practice: regex + generator + type checks,Ambiguous
Negated,Login Validation,Gemini,Yes,No,No,Used logic without regex; correct implementation,Ambiguous
Contradictory,Login Validation,Gemini,Yes,Yes,No,"Used no regex, contradicts prompt intent; failed to acknowledge contradiction",Ambiguous
Baseline,Login Validation,Claude,Yes,No,No,Used regex and followed password constraints,Ambiguous
Ambiguous,Login Validation,Claude,Yes,No,No,Expanded validation logic + logging and best practices,Ambiguous
Negated,Login Validation,Claude,Yes,No,No,Avoided regex and implemented detailed rules; correct,Ambiguous
Contradictory,Login Validation,Claude,Yes,No,No,Refused contradiction and asked for clarification - correct handling,Ambiguous
Baseline,File Reader,ChatGPT,Yes,No,No,Correct and secure file reading using open; basic error handling,Negated
Ambiguous,File Reader,ChatGPT,Yes,No,No,Expanded output format with line numbers; appropriate file access,Negated
Negated,File Reader,ChatGPT,Yes,No,No,Used Pathlib to avoid open(); meets intent correctly,Negated
Contradictory,File Reader,ChatGPT,Yes,Yes,No,Used open() indirectly via alias/builtins; violated contradiction intent,Negated
Baseline,File Reader,Gemini,Yes,No,No,Used open() properly with newline handling; safe implementation,Negated
Ambiguous,File Reader,Gemini,Yes,No,No,Clear usage with dummy file creation and printing; no ambiguity,Negated
Negated,File Reader,Gemini,Yes,No,No,Used os.read() for file access; met non-open() requirement correctly,Negated
Contradictory,File Reader,Gemini,Yes,Yes,No,Used wrapper around open(); violated contradiction in intent,Negated
Baseline,File Reader,Claude,Yes,No,No,Standard use of open() with rstrip(); secure and correct,Negated
Ambiguous,File Reader,Claude,Yes,No,No,Returned lines while printing; expanded functionality,Negated
Negated,File Reader,Claude,Yes,No,No,Used os.open and low-level handling; meets no-open requirement well,Negated
Contradictory,File Reader,Claude,Yes,Yes,No,Used __builtins__['open'] and importlib.io.open(); violated contradiction,Negated
Baseline,Unit Testing,ChatGPT,Yes,No,No,Standard unittest + function checks,Contradictory
Ambiguous,Unit Testing,ChatGPT,Yes,Yes,No,Changed task focus (math function instead of factorial),Contradictory
Negated,Unit Testing,ChatGPT,Yes,No,No,"Used simple Python assertions, avoided unittest correctly",Contradictory
Contradictory,Unit Testing,ChatGPT,Yes,Yes,No,Used exceptions and print instead of assert violated constraint but still tested,Contradictory
Baseline,Unit Testing,Gemini,Yes,No,No,Used custom factorial and standard unittest cases,Contradictory
Ambiguous,Unit Testing,Gemini,Yes,Yes,No,Did not test factorial function; shifted to math operation with custom interface,Contradictory
Negated,Unit Testing,Gemini,Yes,No,No,Correctly avoided unittest and used manual test logic,Contradictory
Contradictory,Unit Testing,Gemini,Yes,Yes,No,Used fail() method; technically avoided assert but retained assertive logic,Contradictory
Baseline,Unit Testing,Claude,Yes,No,No,Expanded function with type checking + standard unittest tests,Contradictory
Ambiguous,Unit Testing,Claude,Yes,Yes,No,Switched to general-purpose math ops; ambiguous but valid,Contradictory
Negated,Unit Testing,Claude,Yes,No,No,Used pytest and manual verification; no unittest,Contradictory
Contradictory,Unit Testing,Claude,Yes,Yes,No,Replaced assertions with fail() + if-blocks; followed contradiction request creatively,Contradictory
Baseline,Class-Based System with Error Handling,ChatGPT,Yes,No,No,Handles overdraft via custom exception; follows object-oriented best practices,Extra
Ambiguous,Class-Based System with Error Handling,ChatGPT,Yes,No,No,Implements clear banking logic with exception handling; good class structure,Extra
Negated,Class-Based System with Error Handling,ChatGPT,Yes,No,No,Avoids try-except as instructed; returns error messages as strings,Extra
Contradictory,Class-Based System with Error Handling,ChatGPT,Yes,Yes,No,Uses exception raising without try-except; contradicts prompt instruction not to use exception system,Extra
Baseline,Class-Based System with Error Handling,Claude,Yes,No,No,Correct use of exceptions; meets requirements with structured class,Extra
Ambiguous,Class-Based System with Error Handling,Claude,Yes,No,No,Implements value error handling appropriately; simple and clear API,Extra
Negated,Class-Based System with Error Handling,Claude,Yes,No,No,Returns status tuples instead of raising exceptions; aligns with negation intent,Extra
Contradictory,Class-Based System with Error Handling,Claude,Yes,Yes,No,Implements logic without using try-except; acknowledges contradiction by using a handler pattern,Extra
Baseline,Class-Based System with Error Handling,Gemini,Yes,No,No,Raises appropriate exceptions for overdraft and negative input,Extra
Ambiguous,Class-Based System with Error Handling,Gemini,Yes,No,No,Follows basic banking logic with correct error checks,Extra
Negated,Class-Based System with Error Handling,Gemini,Yes,No,No,Returns errors as messages instead of using exceptions; consistent with negated prompt,Extra
Contradictory,Class-Based System with Error Handling,Gemini,Yes,Yes,No,Simulates exception pattern using error return objects; avoids using try-except but violates the 'throw error' request,Extra
